UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
NA,Lectin,PNA,Human,NA,NA,NA,Thermo Fisher Scientific,L21409,AF488,NA,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Retina,NA,0.1% Saponin,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-2088-8310,NA,0000-0003-2088-8310,PNA_AF488/Lectin_PNA_AF488_Thermo_L21409.jpg,"Human retina: Lectin PNA (green, catalog number L21409) and Hoechst (blue, catalog number 40046)",fcd4317d3dece15489c395c2b59ea7fa
NA,Lectin,Isolectin GS-IB4,Human,NA,NA,NA,Thermo Fisher Scientific,I21412,AF568,NA,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Retina,NA,0.1% Saponin,NA,NA,Yes,0000-0003-2088-8310,NA,0000-0003-2088-8310,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Mouse,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-11009,AF532,AB_2534076,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1118-7432,NA,0000-0003-1118-7432,CD35_BV510/Mouse_LN_CD35_yellow_BD_740132_ColIV_blue_ab19808_A-11009.jpg,"Mouse lymph node: CD35 (yellow, catalog number 740132) and Collagen IV (blue, catalog number ab19808 and A-11009)",ceb4fd8cd2cc42201659aa8226b9f07a
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,QBEND/10,Thermo Fisher Scientific,MA1-10205,PE,AB_11152571,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0009-0006-9784-2694,NA,0009-0006-9784-2694,CD34_PE/Human_Tonsil_FFPE_Hoechst_blue_CD34_green.jpg,"Human tonsil: Hoechst (blue, Biotium cat. no. 40046) and CD34 (green, Thermo Fisher Scientific cat. no. MA1-10205)",c76364415c790451b7a0d30a401b5132
P08575,Primary Antibody,CD45,Human,Mouse,IgG1,2B11+PD7/26,Novus Biologicals,NBP2-34528PE,PE,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0009-0006-9784-2694,NA,0009-0006-9784-2694,CD45_PE/Human_Tonsil_FFPE_Hoechst_blue_CD45_PE_green.jpg,"Human tonsil: Hoechst (blue, Biotium cat. no. 40046) and CD45 (green, Novus Biologicals cat. no. NBP2-34528PE)",41b039e9d46868bc4769f264d795effb
P08575,Primary Antibody,CD45,Human,Mouse,IgG1,2B11+PD7/26,Novus Biologicals,NBP2-34528AF488,AF488,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,No,0009-0006-9784-2694,NA,0009-0006-9784-2694,CD45_AF488/Human_Tonsil_FFPE_Hoechst_blue_CD45_AF488_green.jpg,"Human tonsil: Hoechst (blue, Biotium cat. no. 40046) and CD45 (green, Novus Biologicals cat. no. NBP2-34528AF488)",5e5dfd4b6720c2abba3f740ca32a35e7
P16410,Primary Antibody,CTLA4,Human,Rabbit,IgG,CAL49,Abcam,ab270127,AF647,NA,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0009-0006-9784-2694,NA,0009-0006-9784-2694,CTLA4_AF647/Human_Tonsil_FFPE_Hoechst_blue_CTLA4_red.jpg,"Human tonsil: Hoechst (blue, Biotium cat. no. 40046) and CTLA4 (red, Abcam cat. no. ab270127)",0319ef9d4863816c1d28cfa5e3ec8258
Q15116,Primary Antibody,PD-1,Human,Rabbit,IgG,EPR4877(2),Abcam,ab275126,AF555,AB_2728811,Stock,Multiplexed 2D Imaging,FFPE,Tonsil,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0009-0006-9784-2694,NA,0009-0006-9784-2694,PD-1_AF555/Human_Tonsil_FFPE_Hoechst_blue_PD1_green.jpg,"Human tonsil: Hoechst (blue, Biotium cat. no. 40046) and PD-1 (green, Abcam cat. no. ab275126)",32a9ea3243d06baf17be375554c5a9d7
NA,Primary Antibody,B220,Mouse,Rat,IgG2a,RA3-6B2,BioLegend,103226,AF647,AB_389330,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,B220_AF647/B220_AF647_Grey_Mouse_LN.jpg,"Mouse lymph node: B220 (grey, catalog number 103226)",594441a0105afe2c0f2d0f078e1301f2
P06332,Primary Antibody,CD4,Mouse,Rat,IgG2b,GK1.5,BioLegend,100443,BV421,AB_2562557,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,CD4_BV421/CD4_BV421_Grey_Mouse_LN_large.jpg,"Mouse lymph node: CD4 (grey, catalog number 100449)",f7e2ff75a88dc016e7b436dc8e120641
Q08481,Primary Antibody,CD31,Mouse,Rat,IgG2a,MEC13.3,BioLegend,102520,AF594,AB_2563319,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 for more than 120 minutes,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,CD31_AF594/CD31_AF594_Grey_Mouse_LN.jpg,"Mouse lymph node: CD31 (grey, catalog number 102520)",e96c4e0587f845e94e34f8e74d72cdd6
P06800,Primary Antibody,CD45,Mouse,Rat,IgG2b,30-F11,BioLegend,103144,AF594,AB_2563458,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 for more than 120 minutes,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,CD45_AF594/CD45_AF594_Grey_Mouse_LN.jpg,"Mouse lymph node: CD45 (grey, catalog number 103144)",e8e0fabc8fcf9a6d0dd6d9543a535a89
P01881,Primary Antibody,IgD,Mouse,Rat,IgG2a,11-26c.2a,BioLegend,405723,BV510,AB_2562742,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,IgD_BV510/IgD_BV510_Green_B220_AF647_Blue_Mouse_LN.jpg,"Mouse lymph node: IgD (green, catalog number 405723) and B220 (blue, catalog number 103226)",cb40bddb73e073c692e25d967d92c70f
NA,Primary Antibody,CD45.1,Mouse,Mouse,IgG2a,A20,BioLegend,110718,AF488,AB_492862,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-8909-5039,NA,0000-0002-8909-5039,CD45.1_AF488/CD45.1_AF488_Magenta_CD138_AF647_Yellow_Mouse_LN.jpg,"Mouse (immunized) lymph node: CD45.1 (magenta, catalog number 110718) and CD138 (yellow, catalog number 142526)",40018e55494cb00bb37f8f5f1210c83c
P35762,Primary Antibody,CD81,Mouse,Armenian Hamster,IgG1,Eat-2,BioLegend,104905,PE,AB_2076267,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-8909-5039,NA,0000-0002-8909-5039,CD81_PE/CD81_PE_Grey_Mouse_LN.jpg,"Mouse lymph node: CD81 (grey, catalog number 104905)",aa8dfb29dc0bf9db5e1cc5dfbc24741f
P24788,Primary Antibody,CD11b,Mouse,Rat,IgG2b,M1/70,BD Biosciences,101217,PE,AB_396680,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-8909-5039,NA,0000-0002-8909-5039,CD11b_PE/CD11b_PE_Grey_Mouse_LN.jpg,"Mouse lymph node: CD11b (grey, catalog number 101217)",fb45af754793db4a66ae930241c7613d
P62737,Primary Antibody,Alpha smooth muscle actin,Mouse,Mouse,IgG2a,1A4,Thermo Fisher Scientific,53-9760-82,AF488,AB_2574461,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-1461-0999,NA,0000-0002-1461-0999,Alpha_smooth_muscle_actin_AF488/aSMA_AF488_Grey_Mouse_SI.jpg,"Mouse small intestine: alpha smooth muscle actin (grey, catalogue number 53-9760-82)",51a470bd7b549f77a5d8616442527b67
P35359,Primary Antibody,Rhodopsin,Zebrafish,Mouse,IgG1,1D4,Santa Cruz Biotechnology,sc-57432,Unconjugated,AB_785511,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6PBM9,Primary Antibody,Cone Arrestin,Zebrafish,Rabbit,IgG,Polyclonal,MilliporeSigma,AB15282,Unconjugated,AB_1163387,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q9W6A8,Primary Antibody,Blue opsin,Zebrafish,Rabbit,IgG,Polyclonal,Kerafast,EJH012,Unconjugated,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
E9QJF8,Primary Antibody,Calbindin,Zebrafish,Rabbit,IgG,Polyclonal,Swant,CB38a,Unconjugated,AB_10000340,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6PC44,Primary Antibody,Calretinin,Zebrafish,Rabbit,IgG,Polyclonal,Swant,7697,Unconjugated,AB_2721226,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Primary Antibody,Carbonic anhydrase 1,Zebrafish,Rabbit,IgG,EPR5193,Abcam,ab108367,Unconjugated,AB_10863424,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Primary Antibody,Go-alpha,Zebrafish,Mouse,IgG1,2A,MilliporeSigma,MAB3073,Unconjugated,AB_94671,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q58EE9,Primary Antibody,GFAP,Zebrafish,Mouse,IgG2b,SMI 25,BioLegend,837508,AF488,AB_2728555,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
P42212,Primary Antibody,GFP,Jellyfish GFP transgene,Chicken,IgY,Monoclonal,Thermo Fisher Scientific,A10262,Unconjugated,AB_2534023,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q90WX5,Primary Antibody,GNAT2,Zebrafish,Rabbit,IgG,Polyclonal,MBL International Corporation,PM075,Unconjugated,AB_2864374,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q7ZVF2,Primary Antibody,Glutamine synthetase,Zebrafish,Mouse,IgG1,1B6G4,Proteintech,CL488-66323,CoraLite Plus AF488,AB_2883309,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Primary Antibody,HuC/D,Zebrafish,Mouse,IgG2b,16A11,Thermo Fisher Scientific,A21271,Unconjugated,AB_221448,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6P698,Primary Antibody,Lymphocyte cytosolic protein 1 (L-plastin/LCP1),Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,13025-1-AP,Unconjugated,AB_2136871,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6P698,Primary Antibody,Lymphocyte cytosolic protein 1 (L-plastin/LCP1),Zebrafish,Rabbit,IgG,Polyclonal,GeneTex,GTX124420,Unconjugated,AB_11167454,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q9W6A7/Q9W6A5,Primary Antibody,Opsin Red/Green,Zebrafish,Rabbit,IgG,Polyclonal,MilliporeSigma,AB5405,Unconjugated,AB_177456,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
P26630,Primary Antibody,PAX6,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,12323-1-AP,Unconjugated,AB_2159695,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q9PTP1,Primary Antibody,PCNA,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,24036-1-AP,Unconjugated,AB_2879414,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q9PTP1,Primary Antibody,PCNA,Zebrafish,Mouse,IgG2a,PC10,Santa Cruz Biotechnology,sc-56,Unconjugated,AB_628110,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q7SY24,Primary Antibody,Protein kinase C beta,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,12919-1-AP,Unconjugated,AB_2237469,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q66HW7,Primary Antibody,Peripherin 2,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,18109-1-AP,Unconjugated,AB_10665364,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6P027,Primary Antibody,Retinaldehyde binding protein 1,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,15356-1-AP,Unconjugated,AB_2178530,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6PBW5,Primary Antibody,Retinal pigment epithelium-specific protein 65kDa,Zebrafish,Rabbit,IgG,Polyclonal,Proteintech,17939-1-AP,Unconjugated,AB_2285290,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q9W6A9,Primary Antibody,UV opsin,Zebrafish,Rabbit,IgG,Polyclonal,Kerafast,EJH013,Unconjugated,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Primary Antibody,ZO-1,Zebrafish,Mouse,IgG1,ZO1-1A12,Thermo Fisher Scientific,33-9100,Unconjugated,AB_2533147,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q6DH07,Primary Antibody,Zpr-1,Zebrafish,Mouse,IgG1,Monoclonal,ZIRC,ZDB-ATB-081002-43,Unconjugated,AB_10013803,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
P35359,Primary Antibody,Zpr-3,Zebrafish,Mouse,IgG1,Monoclonal,ZIRC,ZDB-ATB-081002-45,Unconjugated,AB_10013805,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
Q58EE9,Primary Antibody,Zrf-1,Zebrafish,Mouse,IgG1,Monoclonal,ZIRC,ZDB-ATB-081002-46,Unconjugated,AB_10013806,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Zebrafish,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-21245,AF647,AB_2535813,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Zebrafish,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-10042,AF546,AB_2534017,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Secondary Antibody,Mouse IgG (H+L),Zebrafish,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-11030,AF546,AB_2737024,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Secondary Antibody,Mouse IgG (H+L),Zebrafish,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-21235,AF647,AB_2535804,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Secondary Antibody,Chicken IgY (H&L),Zebrafish,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-11039,AF488,AB_2534096,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Nuclear Dye,DAPI,Zebrafish,NA,NA,NA,Thermo Fisher Scientific,D1306,NA,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,NA,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,FlexAble CoraLite Plus 488 Antibody Labeling Kit for Rabbit IgG,NA,Zebrafish,NA,NA,NA,Proteintech,KFA001,CoraLite Plus AF488,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,FlexAble CoraLite Plus 550 Antibody Labeling Kit for Rabbit IgG,NA,Zebrafish,NA,NA,NA,Proteintech,KFA002,CoraLite Plus AF550,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,FlexAble CoraLite Plus 750 Antibody Labeling Kit for Rabbit IgG,NA,Zebrafish,NA,NA,NA,Proteintech,KFA004,CoraLite Plus AF750,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,FlexAble CoraLite Plus 555 Antibody Labeling Kit for Mouse IgG1,NA,Zebrafish,NA,NA,NA,Proteintech,KFA022,CoraLite Plus AF555,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,FlexAble CoraLite Plus 647 Antibody Labeling Kit for Mouse IgG1,NA,Zebrafish,NA,NA,NA,Proteintech,KFA023,CoraLite Plus AF647,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
NA,Lectin,PNA,Zebrafish,NA,NA,NA,Thermo Fisher Scientific,L21409,AF488,NA,Stock,IBEX2D Manual,4% PFA Fixed Frozen,Retina,GFP transgenic line,0.1% Triton-X-100,pH 6 (10 mM Sodium Citrate) for 20 minutes in a pressure cooker,1 mg/ml LiBH4 30 minutes + light,Yes,0009-0000-2047-4228,NA,0009-0000-2047-4228,NA,NA,NA
A0A8C0S4Q3,Primary Antibody,Melan-A,Canine,Mouse,IgG1,rMLANA,Thermo Fisher Scientific,2315-MSM12-P1,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Skin,Melanoma,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,No,0000-0001-5088-7808,NA,0000-0001-5088-7808,Melan-A_Unconjugated/Canine_Melanoma_Skin_MelanA_2315-MSM12-P1_A31570_Hoechst.jpg,"Canine melanoma skin FFPE: Melan-A (red, catalog number 2315-MSM12-P1 and A31570) and Hoechst (cyan, catalog number 40046)",325511038b9bc4957fbbf48b9f221804
O97799,Primary Antibody,CD117,Canine,Rabbit,IgG,Polyclonal,Thermo Fisher Scientific,BS-0672R,Unconjugated,NA,Stock,Multiplexed 2D Imaging,FFPE,Skin,Melanoma,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,No,0000-0001-5088-7808,NA,0000-0001-5088-7808,NA,NA,NA
